x	w
0.933078120172818047629e-1	0.218234885940086889856	
0.492691740301883908960		0.342210177922883329639	
0.121559541207094946373e1	0.263027577941680097415	
0.226994952620374320247e1	0.126425818105930535843	
0.366762272175143727725e1	0.402068649210009148416e-1
0.542533662741355316534e1	0.856387780361183836392e-2
0.756591622661306786050e1	0.121243614721425207622e-2
0.101202285680191127348e2	0.111674392344251941993e-3
0.131302824821757235641e2	0.645992676202290092465e-5
0.166544077083299578225e2	0.222631690709627263033e-6
0.207764788994487667729e2	0.422743038497936500735e-8
0.256238942267287801446e2	0.392189726704108929038e-10
0.314075191697539385152e2	0.145651526407312640633e-12
0.385306833064860094163e2	0.148302705111330133546e-15
0.480260855726857943466e2	0.160059490621113323105e-19
